School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Mott Hall Ii;6;Average;234 West 109th Street;public;6-8;429;14;New York City Geographic District # 3;/new-york/new-york/8302-Mott-Hall-Ii/
Future Leaders Institute Charter School;6;Average;134 West 122nd Street;charter;K-8 & Ungraded;370;9;Future Leaders Institute Charter School;/new-york/new-york/8308-Future-Leaders-Institute-Charter-School/
Isaac Newton Ms For Math And Science;6;Average;260 Pleasant Avenue;public;6-8;239;11;New York City Geographic District # 4;/new-york/new-york/8313-Isaac-Newton-Ms-For-Math-And-Science/
Democracy Preparatory Charter School;6;Average;2230 5th Avenue;charter;6-12 & Ungraded;705;11;Democracy Preparatory Charter School;/new-york/new-york/8774-Democracy-Preparatory-Charter-School/
Harbor Heights Middle School;6;Average;306 Fort Washington Avenue;public;6-8;120;12;New York City Geographic District # 6;/new-york/new-york/8775-Harbor-Heights-Middle-School/
Community Health Academy of the Heights;6;Average;504 W 158TH ST;public;6-12;700;13;New York City Geographic District # 6;/new-york/new-york/8776-Community-Health-Academy-Of-The-Heights/
Washington Heights Expeditionary Learning School;6;Average;511 West 182nd Street;public;PK, K-12 & Ungraded;870;12;New York City Geographic District # 6;/new-york/new-york/8777-Washington-Heights-Expeditionary-Learning-School/
School For Global Leaders;5;Average;145 Stanton Street;public;6-8;252;9;New York City Geographic District # 1;/new-york/new-york/13264-School-For-Global-Leaders/
Gramercy Arts High School;5;Average;40 Irving Place;public;9-12;467;14;New York City Geographic District # 2;/new-york/new-york/13269-Gramercy-Arts-High-School/
West Prep Academy;5;Average;150 West 105th Street;public;6-8;198;10;New York City Geographic District # 3;/new-york/new-york/13276-West-Prep-Academy/
Dream Charter School;5;Average;1991 2nd Avenue;charter;PK, K-12 & Ungraded;681;10;Dream Charter School;/new-york/new-york/13399-Dream-Charter-School/
Democracy Prep Harlem Charter School;5;Average;207 West 133rd Street;charter;K-12 & Ungraded;1033;9;Democracy Prep Harlem Charter School;/new-york/new-york/13503-Democracy-Prep-Harlem-Charter-School/
International High School at Union Square;5;Average;40 Irving Place;public;9-12;343;13;New York City Geographic District # 2;/new-york/new-york/13507-International-High-School-At-Union-Square/
Manhattan Charter School II;5;Average;220 Henry Street;charter;K-5;184;23;MANHATTAN CHARTER SCHOOL II;/new-york/new-york/14157-Manhattan-Charter-School-II/
Harvest Collegiate High School;5;Average;34 West 14th Street;public;9-12;463;13;New York City Geographic District # 2;/new-york/new-york/14161-Harvest-Collegiate-High-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Democracy Prep Endurance Charter School;5;Average;250 West 127th Street;charter;6-12 & Ungraded;654;10;DEMOCRACY PREP ENDURANCE CHARTER SCHOOL;/new-york/new-york/14170-Democracy-Prep-Endurance-Charter-School/
High School for Environmental Studies;5;Average;444 West 56th Street;public;9-12;1160;16;New York City Geographic District # 2;/new-york/new-york/1790-High-School-For-Environmental-Studies/
Ps 18 Park Terrace;5;Average;4124 9th Avenue;public;K-8;350;11;New York City Geographic District # 6;/new-york/new-york/1800-Ps-18-Park-Terrace/
CITY KNOLL MIDDLE SCHOOL;5;Average;440 West 53rd Street;public;6-8;180;12;New York City Geographic District # 2;/new-york/new-york/18165-CITY-KNOLL-MIDDLE-SCHOOL/
Wadleigh Secondary School for the Performing and Visual Arts;5;Average;215 West 114th Street;public;6-12;310;8;New York City Geographic District # 3;/new-york/new-york/1828-Wadleigh-Secondary-School-For-The-Performing-And-Visual-Arts/
East Side Community School;5;Average;420 East 12th Street;public;6-12 & Ungraded;678;13;New York City Geographic District # 1;/new-york/new-york/1831-East-Side-Community-School/
Repertory Company High School for Theatre Arts;5;Average;123 West 43rd Street;public;9-12;236;14;New York City Geographic District # 2;/new-york/new-york/1914-Repertory-Company-High-School-For-Theatre-Arts/
Institute For Collaborative Education;5;Average;345 East 15th Street;public;6-12;484;19;New York City Geographic District # 2;/new-york/new-york/1915-Institute-For-Collaborative-Education/
Ps 3 Charrette School;5;Average;490 Hudson Street;public;PK, K-5;731;14;New York City Geographic District # 2;/new-york/new-york/2033-Ps-3-Charrette-School/
Ps 154 Harriet Tubman;5;Average;250 West 127th Street;public;PK, K-5 & Ungraded;285;10;New York City Geographic District # 5;/new-york/new-york/2152-Ps-154-Harriet-Tubman/
P.S. 51 Elias Howe;5;Average;525 West 44th Street;public;PK, K-5 & Ungraded;482;13;New York City Geographic District # 2;/new-york/new-york/2201-P.S.-51-Elias-Howe/
PS 84 Lillian Weber;5;Average;32 West 92nd Street;public;PK, K-5;664;13;New York City Geographic District # 3;/new-york/new-york/2297-Ps-84-Lilian-Weber/
Ps 123 Mahalia Jackson;5;Average;301 West 140th Street;public;PK, K-8 & Ungraded;463;10;New York City Geographic District # 5;/new-york/new-york/2413-Ps-123-Mahalia-Jackson/
Ps 140 Nathan Straus;5;Average;123 Ridge Street;public;PK, K-8 & Ungraded;386;11;New York City Geographic District # 1;/new-york/new-york/2469-Ps-140-Nathan-Straus/
Ps 142 Amalia Castro;5;Average;100 Attorney Street;public;PK, K-5;357;9;New York City Geographic District # 1;/new-york/new-york/2473-Ps-142-Amalia-Castro/
Ps 145 The Bloomingdale School;5;Average;150 West 105th Street;public;PK, K-5 & Ungraded;395;10;New York City Geographic District # 3;/new-york/new-york/2483-Ps-145-The-Bloomingdale-School/
Ps 146 Ann M Short;5;Average;421 East 106th Street;public;PK, K-5 & Ungraded;379;9;New York City Geographic District # 4;/new-york/new-york/2487-Ps-146-Ann-M-Short/
Young Women's Leadership School;5;Average;105 East 106th Street;public;6-12;479;16;New York City Geographic District # 4;/new-york/new-york/2812-Young-Womens-Leadership-School/
Harold O Levy School;5;Average;650 Academy Street;public;6-8 & Ungraded;255;11;New York City Geographic District # 6;/new-york/new-york/2894-Jhs-52-Inwood/
Ps 175 Henry H Garnet;5;Average;175 West 134th Street;public;PK, K-5;344;12;New York City Geographic District # 5;/new-york/new-york/2930-Ps-175-Henry-H-Garnet/
Ms 224 Manhattan East School For Arts And Academy;5;Average;410 East 100th Street;public;6-8;186;11;New York City Geographic District # 4;/new-york/new-york/6420-Ms-224-Manhattan-East-School-For-Arts-And-Academy/
The Children's Workshop School;5;Average;610 East 12th Street;public;PK, K-5;324;13;New York City Geographic District # 1;/new-york/new-york/6506-The-Childrens-Workshop-School/
Ps 92 Mary Mcleod Bethune;5;Average;222 West 134th Street;public;PK, K-5 & Ungraded;260;10;New York City Geographic District # 5;/new-york/new-york/6887-Ps-92-Mary-Mcleod-Bethune/
Amber Charter School East Harlem;5;Average;220 East 106th Street;charter;K-5;526;21;Amber Charter School;/new-york/new-york/7669-Amber-Charter-School/
Manhattan Bridges High School;5;Average;525 West 50th Street;public;9-12;531;15;New York City Geographic District # 2;/new-york/new-york/7683-Manhattan-Bridges-High-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Orchard Collegiate Academy;5;Average;220 Henry Street;public;9-12 & Ungraded;198;8;New York City Geographic District # 1;/new-york/new-york/8285-Henry-Street-School-For-International-Studies/
Manhattan Charter School;5;Average;100 Attorney Street;charter;K-6;241;12;Manhattan Charter School;/new-york/new-york/8288-Manhattan-Charter-School/
Frederick Douglas Academy II Secondary School;5;Average;215 West 114th Street;public;6-12 & Ungraded;359;11;New York City Geographic District # 3;/new-york/new-york/8305-Frederick-Douglas-Academy-II-Secondary-School/
Central Park East I;5;Average;1573 Madison Avenue;public;PK, K-5;184;12;New York City Geographic District # 4;/new-york/new-york/8312-Central-Park-East-I/
Ms 319 Marie Teresa;5;Average;21 Jumel Place;public;6-8 & Ungraded;387;13;New York City Geographic District # 6;/new-york/new-york/8328-Ms-319-Marie-Teresa/
New Heights Academy Charter School;5;Average;1818 Amsterdam Avenue;charter;5-12;784;14;New Heights Academy Charter School;/new-york/new-york/8336-New-Heights-Academy-Charter-School/
Manhattan Business Academy;4;Below average;351 West 18th Street;public;9-12 & Ungraded;421;12;New York City Geographic District # 2;/new-york/new-york/13271-Manhattan-Business-Academy/
Esperanza Prepatory Academy;4;Below average;240 East 109th Street;public;6-12 & Ungraded;571;10;New York City Geographic District # 4;/new-york/new-york/13281-Esperanza-Prepatory-Academy/
Urban Assembly New York Harbor School;4;Below average;10 South Street;public;9-12;532;14;New York City Geographic District # 2;/new-york/new-york/13497-Urban-Assembly-New-York-Harbor-School/
Union Square Acad for Health Science;4;Below average;40 Irving Place;public;9-12;423;12;New York City Geographic District # 2;/new-york/new-york/14160-Union-Square-Acad-For-Health-Science/
Academy for Software Engineering;4;Below average;40 Irving Place;public;9-12;456;13;New York City Geographic District # 2;/new-york/new-york/14162-Academy-For-Software-Engineering/
Great Oaks Charter School;4;Below average;38 Delancey Street;charter;6-8 & Ungraded;263;18;GREAT OAKS CHARTER SCHOOL;/new-york/new-york/14165-Great-Oaks-Charter-School/
Harlem Hebrew Language Academy;4;Below average;147 Saint Nicholas Avenue;charter;PK, K-8;494;7;HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL;/new-york/new-york/14166-Harlem-Hebrew-Language-Academy/
Ps 48 Po Michael J Buczek;4;Below average;4360 Broadway;public;PK, K-5;477;10;New York City Geographic District # 6;/new-york/new-york/1801-Ps-48-Po-Michael-J-Buczek/
Dos Puentes Elementary School;4;Below average;185 WADSWORTH AVE;public;K-5;412;12;New York City Geographic District # 6;/new-york/new-york/18104-Dos-Puentes-Elementary-School/
Urban Assembly Maker Academy;4;Below average;411 Pearl Street;public;9-12;390;13;New York City Geographic District # 2;/new-york/new-york/18162-Urban-Assembly-Maker-Academy/
Manhattan Early College School For Advertising;4;Below average;411 Pearl Street;public;9-12;414;12;New York City Geographic District # 2;/new-york/new-york/18166-Manhattan-Early-College-School-For-Advertising/
INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES;4;Below average;650 Academy Street;public;9-12 & Ungraded;403;N/A;New York City Geographic District # 6;/new-york/new-york/18169-INWOOD-EARLY-COLLEGE-FOR-HEALTH-AND-INFORMATION-TECHNOLOGIES/
High School Of Economics And Finance;4;Below average;100 Trinity Place;public;9-12 & Ungraded;743;16;New York City Geographic District # 2;/new-york/new-york/1832-High-School-Of-Economics-And-Finance/
Whin Music Community Charter School;4;Below average;401 West 164th Street;charter;K-4;139;9;Whin Music Community Charter School;/new-york/new-york/18353-Whin-Music-Community-Charter-School/
NEW YORK CITY CHARTER SCHOOL OF THE ARTS;4;Below average;26 Broadway;charter;6-8;273;16;New York City Charter School of the Arts;/new-york/new-york/18405-NEW-YORK-CITY-CHARTER-SCHOOL-OF-THE-ARTS/
Chelsea Career And Technical Education High School;4;Below average;131 Avenue of the Americas;public;9-12;453;13;New York City Geographic District # 2;/new-york/new-york/1948-Chelsea-Career-And-Technical-Education-High-School/
The High School of Fashion Industries;4;Below average;225 West 24th Street;public;9-12 & Ungraded;1591;15;New York City Geographic District # 2;/new-york/new-york/1958-The-High-School-Of-Fashion-Industries/
Ps 1 Alfred E Smith;4;Below average;8 Henry Street;public;PK, K-5;293;10;New York City Geographic District # 2;/new-york/new-york/2026-Ps-1-Alfred-E-Smith/
Ps 7 Samuel Stern;4;Below average;160 East 120th Street;public;PK, K-8 & Ungraded;412;11;New York City Geographic District # 4;/new-york/new-york/2045-Ps-7-Samuel-Stern/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ps 38 Roberto Clemente;4;Below average;232 East 103rd Street;public;PK, K-5;234;11;New York City Geographic District # 4;/new-york/new-york/2064-Ps-38-Roberto-Clemente/
Ps 36 Margaret Douglas;4;Below average;123 Morningside Drive;public;PK, K-5 & Ungraded;358;9;New York City Geographic District # 5;/new-york/new-york/2140-Ps-36-Margaret-Douglas/
Ps 46 Arthur Tappan;4;Below average;2987 Frederick Douglass Boulevard;public;PK, K-8 & Ungraded;633;11;New York City Geographic District # 5;/new-york/new-york/2183-Ps-46-Arthur-Tappan/
Ps 115 Alexander Humboldt;4;Below average;586 West 177th Street;public;PK, K-5;445;12;New York City Geographic District # 6;/new-york/new-york/2392-Ps-115-Alexander-Humboldt/
Ps 129 John H Finley;4;Below average;425 West 130th Street;public;PK, K-8 & Ungraded;414;11;New York City Geographic District # 5;/new-york/new-york/2433-Ps-129-John-H-Finley/
Ps 132 Juan Pablo Duarte;4;Below average;185 WADSWORTH AVE;public;K-5;241;8;New York City Geographic District # 6;/new-york/new-york/2443-Ps-132-Juan-Pablo-Duarte/
Ps 133 Fred R Moore;4;Below average;2121 5th Avenue;public;PK, K-5 & Ungraded;223;8;New York City Geographic District # 5;/new-york/new-york/2447-Ps-133-Fred-R-Moore/
PS 149 Sojourner Truth;4;Below average;41 West 117th Street;public;PK, K-8;240;10;New York City Geographic District # 3;/new-york/new-york/2497-PS-149-Sojourner-Truth/
Ps 153 Adam Clayton Powell;4;Below average;1750 Amsterdam Avenue;public;PK, K-5;534;14;New York City Geographic District # 6;/new-york/new-york/2508-Ps-153-Adam-Clayton-Powell/
P.S. 161 Pedro Albizu Campos;4;Below average;499 West 133rd Street;public;K-8 & Ungraded;805;12;New York City Geographic District # 5;/new-york/new-york/2533-P.S.-161-Pedro-Albizu-Campos/
Ps 200 The James Mccune Smith School;4;Below average;2589 7TH AVE;public;PK, K-5;375;9;New York City Geographic District # 5;/new-york/new-york/2626-Ps-200-The-James-Mccune-Smith-School/
Richard R Green High School Of Teaching;4;Below average;7 Beaver Street;public;9-12 & Ungraded;428;14;New York City Geographic District # 2;/new-york/new-york/2939-Richard-R-Green-High-School-Of-Teaching/
Stem Institute Of Manhattan;4;Below average;240 West 113th Street;public;PK, K-5;131;7;New York City Geographic District # 3;/new-york/new-york/6251-Stem-Institute-Of-Manhattan/
College Academy (The);4;Below average;549 Audubon Avenue;public;9-12 & Ungraded;421;15;New York City Geographic District # 6;/new-york/new-york/6269-High-School-For-International-Business--Finance/
Urban Assembly Academy for Future Leaders;4;Below average;509 West 129th Street;public;6-8 & Ungraded;126;14;New York City Geographic District # 5;/new-york/new-york/6421-Is-286-Renaissance-Military-Leadership-Academy/
Harlem Day Charter School;4;Below average;240 East 123rd Street;charter;K-12 & Ungraded;951;13;Harlem Day Charter School;/new-york/new-york/6460-Harlem-Day-Charter-School/
Ps 64 Robert Simon;4;Below average;600 East 6th Street;public;PK, K-5;225;10;New York City Geographic District # 1;/new-york/new-york/6469-Ps-64-Robert-Simon/
Ps 188 The Island School;4;Below average;442 East Houston Street;public;PK, K-8 & Ungraded;405;10;New York City Geographic District # 1;/new-york/new-york/6470-Ps-188-The-Island-School/
Professor Juan Bosch Public School;4;Below average;12-18 ELLWOOD ST;public;K-5;285;9;New York City Geographic District # 6;/new-york/new-york/6472-Professor-Juan-Bosch-Public-School/
Harvey Milk High School;4;Below average;2 Astor Place;public;9-12;66;7;New York City Geographic District # 2;/new-york/new-york/7684-Harvey-Milk-High-School/
Urban Assembly Academy Of Government And Law;4;Below average;350 Grand Street;public;9-12;331;12;New York City Geographic District # 2;/new-york/new-york/8182-Urban-Assembly-Academy-Of-Government-And-Law/
Harlem Link Charter School;4;Below average;21 West 111th Street;charter;PK, K-5;392;10;Harlem Link Charter School;/new-york/new-york/8307-Harlem-Link-Charter-School/
Community Math and Science Prep;4;Below average;401 West 164th Street;public;6-8;207;8;New York City Geographic District # 6;/new-york/new-york/8334-Ms-328-Manhattan-Middle-School-For-Scientific-Inqu/
Hamilton Heights School;4;Below average;1750 Amsterdam Avenue;public;PK, K-5;148;10;New York City Geographic District # 6;/new-york/new-york/8975-Hamilton-Heights-School/
Emma Lazarus High School;3;Below average;100 Hester Street;public;9-12;308;15;New York City Geographic District # 2;/new-york/new-york/13273-Emma-Lazarus-High-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
High School For Language And Diplomacy;3;Below average;40 Irving Place;public;9-12 & Ungraded;301;13;New York City Geographic District # 2;/new-york/new-york/13274-High-School-For-Language-And-Diplomacy/
Quest To Learn;3;Below average;351 West 18th Street;public;6-12 & Ungraded;543;11;New York City Geographic District # 2;/new-york/new-york/13275-Quest-To-Learn/
Urban Assembly School for Green Careers;3;Below average;145 West 84th Street;public;9-12 & Ungraded;304;11;New York City Geographic District # 3;/new-york/new-york/13277-Urban-Assembly-School-For-Green-Careers/
The Global Learning Collaborative;3;Below average;145 West 84th Street;public;9-12;421;12;New York City Geographic District # 3;/new-york/new-york/13278-The-Global-Learning-Collaborative/
Mosaic Preparatory Academy;3;Below average;141 East 111th Street;public;PK, K-5;310;10;New York City Geographic District # 4;/new-york/new-york/13282-Mosaic-Preparatory-Academy/
Murray Hill Academy;3;Below average;111 East 33rd Street;public;9-12;307;12;New York City Geographic District # 2;/new-york/new-york/13499-Murray-Hill-Academy/
Hudson High School Of Learning Technologies;3;Below average;351 West 18th Street;public;9-12 & Ungraded;475;13;New York City Geographic District # 2;/new-york/new-york/13506-Hudson-High-School-Of-Learning-Technologies/
East Harlem Scholars Academy Charter School II;3;Below average;1573 Madison Avenue;charter;PK, K-8;416;9;EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II;/new-york/new-york/14168-East-Harlem-Scholars-Academy-Charter-School-II/
Landmark High School;3;Below average;351 West 18th Street;public;9-12;332;13;New York City Geographic District # 2;/new-york/new-york/1805-Landmark-High-School/
Urban Assembly-Emergency Management;3;Below average;411 Pearl Street;public;9-12;264;N/A;New York City Geographic District # 2;/new-york/new-york/18131-Urban-Assembly-Emergency-Management/
Capital Prep (Cp) Harlem Charter;3;Below average;1 East 104th Street;charter;6-12;338;14;Capital Preparatory (CP) Harlem Charter School;/new-york/new-york/18217-Capital-Prep-Cp-Harlem-Charter/
Leadership And Public Service High School;3;Below average;90 Trinity Place;public;9-12;474;14;New York City Geographic District # 2;/new-york/new-york/1830-Leadership-And-Public-Service-High-School/
Frederick Douglass Academy;3;Below average;2581 7TH AVE;public;6-12;1270;16;New York City Geographic District # 5;/new-york/new-york/1833-Frederick-Douglass-Academy/
Jacqueline Kennedy-Onassis High School;3;Below average;120 West 46th Street;public;9-12;453;14;New York City Geographic District # 2;/new-york/new-york/1884-Jacqueline-Kennedy-Onassis-High-School/
Murry Bergtraum High School For Business Careers;3;Below average;411 Pearl Street;public;9-12;184;10;New York City Geographic District # 2;/new-york/new-york/2020-Murry-Bergtraum-High-School-For-Business-Careers/
Ps 28 Wright Brothers;3;Below average;475 West 155th Street;public;PK, K-5 & Ungraded;593;11;New York City Geographic District # 6;/new-york/new-york/2112-Ps-28-Wright-Brothers/
James Weldon Johnson School;3;Below average;176 East 115th Street;public;PK, K-8 & Ungraded;814;12;New York City Geographic District # 4;/new-york/new-york/2222-James-Weldon-Johnson-School/
The Lexington Academy;3;Below average;131 East 104th Street;public;PK, K-8 & Ungraded;644;11;New York City Geographic District # 4;/new-york/new-york/2265-The-Lexington-Academy/
Ps 76 A Phillip Randolph;3;Below average;220 West 121st Street;public;PK, K-8;443;14;New York City Geographic District # 3;/new-york/new-york/2279-Ps-76-A-Phillip-Randolph/
Ps 108 Assemblyman Angelo Del Toro Educational Com;3;Below average;1615 Madison Avenue;public;PK, K-8 & Ungraded;467;10;New York City Geographic District # 4;/new-york/new-york/2371-Ps-108-Assemblyman-Angelo-Del-Toro-Educational-Com/
Ps 128 Audubon;3;Below average;560 West 169th Street;public;PK, K-5;591;11;New York City Geographic District # 6;/new-york/new-york/2430-Ps-128-Audubon/
Ps 134 Henrietta Szold;3;Below average;293 East Broadway;public;PK, K-5 & Ungraded;274;8;New York City Geographic District # 1;/new-york/new-york/2450-Ps-134-Henrietta-Szold/
Riverside School for Makers and Artists (The);3;Below average;300 West 61st Street;public;PK, K-8 & Ungraded;562;11;New York City Geographic District # 3;/new-york/new-york/2601-Ps-191-Amsterdam/
Ps Ms 206 Jose Celso Barbosa;3;Below average;508 East 120th Street;public;3-8 & Ungraded;476;6;New York City Geographic District # 4;/new-york/new-york/2638-Ps-Ms-206-Jose-Celso-Barbosa/
A Philip Randolph Campus High School;3;Below average;433 West 135th Street;public;9-12 & Ungraded;1525;16;New York City Geographic District # 6;/new-york/new-york/2870-A-Philip-Randolph-Campus-High-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Manhattan Comprehensive Night And Day High School;3;Below average;240 2nd Avenue;public;10-12;548;16;New York City Geographic District # 2;/new-york/new-york/2941-Manhattan-Comprehensive-Night-And-Day-High-School/
High School for Media & Communications;3;Below average;549 Audubon Avenue;public;9-12 & Ungraded;384;15;New York City Geographic District # 6;/new-york/new-york/6270-High-School-For-Media--Communications/
Life Sciences Secondary School;3;Below average;320 East 96th Street;public;8-12;427;12;New York City Geographic District # 2;/new-york/new-york/6273-Life-Sciences-Secondary-School/
Harbor Science and Arts Charter School;3;Below average;132-142 E 111TH ST;charter;K-8;282;11;Harbor Science And Arts Charter School;/new-york/new-york/6389-Harbor-Science-And-Arts-Charter-School/
Neighborhood School;3;Below average;121 East 3rd Street;public;PK, K-5;307;12;New York City Geographic District # 1;/new-york/new-york/6507-Neighborhood-School/
Earth School;3;Below average;600 East 6th Street;public;PK, K-5;351;12;New York City Geographic District # 1;/new-york/new-york/6508-Earth-School/
PS 96 Joseph Lanzetta;3;Below average;216 East 120th Street;public;PK, K-8 & Ungraded;388;9;New York City Geographic District # 4;/new-york/new-york/6834-PS-96-Joseph-Lanzetta/
Thurgood Marshall Academy Lower School;3;Below average;276 W 151ST ST;public;K-5;211;12;New York City Geographic District # 5;/new-york/new-york/8188-Thurgood-Marshall-Academy-Lower-School/
University Neighborhood Middle School;3;Below average;220 Henry Street;public;6-8 & Ungraded;207;8;New York City Geographic District # 1;/new-york/new-york/8280-University-Neighborhood-Middle-School/
Pace High School;3;Below average;100 Hester Street;public;9-12;578;13;New York City Geographic District # 2;/new-york/new-york/8294-Pace-High-School/
Urban Assembly School Of Design And Construction;3;Below average;525 West 50th Street;public;9-12;310;14;New York City Geographic District # 2;/new-york/new-york/8295-Urban-Assembly-School-Of-Design-And-Construction/
Urban Assembly School for Media Studies;3;Below average;439 West 49th Street;public;9-12;411;13;New York City Geographic District # 3;/new-york/new-york/8304-Urban-Assembly-School-For-Media-Studies/
Central Park East Ii;3;Below average;433 East 100th Street;public;PK, K-8;479;12;New York City Geographic District # 4;/new-york/new-york/8314-Central-Park-East-Ii/
Opportunity Charter School;3;Below average;240 West 113th Street;charter;6-12 & Ungraded;486;10;Opportunity Charter School;/new-york/new-york/8323-Opportunity-Charter-School/
Lower East Side Preparatory High School;3;Below average;145 Stanton Street;public;9-12;494;16;New York City Geographic District # 1;/new-york/new-york/8961-Lower-East-Side-Preparatory-High-School/
Urban Assembly School Of Business For Young Women;2;Below average;26 Broadway;public;9-12 & Ungraded;179;15;New York City Geographic District # 2;/new-york/new-york/13268-Urban-Assembly-School-Of-Business-For-Young-Women/
Business Of Sports School;2;Below average;439 West 49th Street;public;9-12;433;11;New York City Geographic District # 2;/new-york/new-york/13272-Business-Of-Sports-School/
Forsythe Satellite Academy;2;Below average;198 Forsyth Street;public;9-12;174;16;New York City Geographic District # 1;/new-york/new-york/13502-Forsythe-Satellite-Academy/
Rensaissance Charter High School For Innovation;2;Below average;410 East 100th Street;charter;9-12 & Ungraded;449;7;Rensaissance Charter High School For Innovation;/new-york/new-york/13508-Rensaissance-Charter-High-School-For-Innovation/
Manhattan Academy For Arts And Languages;2;Below average;111 East 33rd Street;public;9-12;238;11;New York City Geographic District # 2;/new-york/new-york/13509-Manhattan-Academy-For-Arts-And-Languages/
Broome Street Academy Charter High School;2;Below average;121 Avenue of the Americas;charter;9-12;302;9;Broome Street Academy Charter High School;/new-york/new-york/13625-Broome-Street-Academy-Charter-High-School/
E Harlem Scholars Acad Charter School;2;Below average;2050 2ND AVE;charter;PK, K-10 & Ungraded;586;10;EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL;/new-york/new-york/14167-E-Harlem-Scholars-Acad-Charter-School/
Vanguard High School;2;Below average;317 East 67th Street;public;9-12 & Ungraded;422;13;New York City Geographic District # 2;/new-york/new-york/1808-Vanguard-High-School/
Stephen T Mather Bldg Arts-Craftsman;2;Below average;439 West 49th Street;public;9-12;403;9;New York City Geographic District # 2;/new-york/new-york/18129-Stephen-T-Mather-Bldg-Arts-Craftsman/
P.S. 102 Jacques Cartier;2;Below average;315 East 113th Street;public;PK, K-5;264;10;New York City Geographic District # 4;/new-york/new-york/2352-P.S.-102-Jacques-Cartier/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ps 152 Dyckman Valley;2;Below average;93 Nagle Avenue;public;PK, K-5;559;12;New York City Geographic District # 6;/new-york/new-york/2504-Ps-152-Dyckman-Valley/
Ps 155 William Paca;2;Below average;319 East 117th Street;public;PK, K-5;247;10;New York City Geographic District # 4;/new-york/new-york/2517-Ps-155-William-Paca/
Locke School for Arts and Engineering;2;Below average;20 West 112th Street;public;PK, K-5 & Ungraded;362;11;New York City Geographic District # 3;/new-york/new-york/2588-P.S.-185-The-Early-Childhood-Discovery-And-Design-Magnet-School/
Ps 194 Countee Cullen;2;Below average;244 West 144th Street;public;PK, K-5;198;10;New York City Geographic District # 5;/new-york/new-york/2609-Ps-194-Countee-Cullen/
Ps 197 John B Russwurm;2;Below average;2230 5th Avenue;public;PK, K-5 & Ungraded;303;10;New York City Geographic District # 5;/new-york/new-york/2616-Ps-197-John-B-Russwurm/
The Heritage School;2;Below average;1680 Lexington Avenue;public;9-12;318;13;New York City Geographic District # 4;/new-york/new-york/2814-The-Heritage-School/
Ps 242 The Young Diplomats Magnet School;2;Below average;134 West 122nd Street;public;PK, K-5;140;8;New York City Geographic District # 3;/new-york/new-york/6252-Ps-242-The-Young-Diplomats-Magnet-School/
Ms 250 West Side Collaborative Middle School;2;Below average;735 West End Avenue;public;6-8;159;10;New York City Geographic District # 3;/new-york/new-york/6259-Ms-250-West-Side-Collaborative-Middle-School/
Urban Academy Laboratory High School;2;Below average;317 East 67th Street;public;9-12;137;11;New York City Geographic District # 2;/new-york/new-york/6265-Urban-Academy-Laboratory-High-School/
High School for Health Careers & Sciences;2;Below average;549 Audubon Avenue;public;9-12 & Ungraded;402;11;New York City Geographic District # 6;/new-york/new-york/6272-High-School-For-Health-Careers--Sciences/
High School for Law, Advocacy and Community Justice;2;Below average;245 Greenwich Street;public;9-12;430;13;New York City Geographic District # 3;/new-york/new-york/6883-High-School-For-Law-Advocacy-And-Community-Justice/
High School of Arts and Technology;2;Below average;439 West 49th Street;public;9-12 & Ungraded;496;14;New York City Geographic District # 3;/new-york/new-york/6884-High-School-Of-Arts-And-Technology/
Thurgood Marshall Academy For Learning And Social;2;Below average;200 West 135th Street;public;6-12;561;14;New York City Geographic District # 5;/new-york/new-york/6885-Thurgood-Marshall-Academy-For-Learning-And-Social/
New Design High School;2;Below average;350 Grand Street;public;9-12 & Ungraded;425;11;New York City Geographic District # 2;/new-york/new-york/7682-New-Design-High-School/
Ps 180 Hugo Newman;2;Below average;370 West 120th Street;public;PK, K-8;518;12;New York City Geographic District # 3;/new-york/new-york/7687-Ps-180-Hugo-Newman/
Lower Manhattan Arts Academy;2;Below average;350 Grand Street;public;9-12 & Ungraded;291;12;New York City Geographic District # 2;/new-york/new-york/8184-Lower-Manhattan-Arts-Academy/
High School for Arts, Imagination and Inquiry;2;Below average;245 Greenwich Street;public;9-12;332;12;New York City Geographic District # 3;/new-york/new-york/8187-High-School-For-Arts-Imagination-And-Inquiry/
Food And Finance High School;2;Below average;525 West 50th Street;public;9-12 & Ungraded;387;12;New York City Geographic District # 2;/new-york/new-york/8291-Food-And-Finance-High-School/
